date,Number of people
2022-03-29,45
2022-03-30,82
2022-03-31,39
2022-04-01,42
2022-04-02,3
2022-04-03,2
2022-04-04,41
2022-04-05,34
2022-04-06,23
2022-04-07,32
2022-04-08,44
2022-04-09,1
2022-04-10,7
2022-04-11,24
2022-04-12,39
2022-04-13,41
2022-04-14,38
2022-04-15,2
2022-04-16,3
2022-04-17,1
2022-04-18,17
2022-04-19,21
2022-04-20,31
2022-04-21,31
2022-04-22,22
2022-04-25,42
2022-04-26,89
2022-04-27,54
2022-04-28,20
2022-04-29,28
2022-04-30,2
2022-05-01,1
2022-05-02,15
2022-05-03,48
2022-05-04,28
2022-05-05,37
2022-05-06,44
2022-05-09,27
2022-05-10,52
2022-05-11,51
2022-05-12,42
2022-05-13,39
2022-05-15,1
2022-05-16,29
2022-05-17,45
2022-05-18,41
2022-05-19,45
2022-05-20,22
2022-05-21,2
2022-05-22,1
2022-05-23,1
2022-05-24,39
2022-05-25,29
2022-05-26,50
2022-05-27,29
2022-05-28,1
2022-05-29,1
2022-05-30,33
2022-05-31,49
2022-06-01,50
2022-06-02,30
2022-06-03,52
2022-06-04,2
2022-06-06,25
2022-06-07,18
2022-06-08,33
2022-06-09,37
2022-06-10,29
2022-06-11,3
2022-06-12,3
2022-06-13,36
2022-06-14,36
2022-06-15,32
2022-06-16,43
2022-06-17,74
2022-06-18,2
2022-06-19,5
2022-06-20,23
2022-06-21,30
2022-06-22,51
2022-06-23,21
2022-06-24,31
2022-06-25,1
2022-06-26,6
2022-06-27,54
2022-06-28,37
2022-06-29,40
2022-06-30,31
2022-07-02,4
2022-07-03,4
2022-07-04,68
2022-07-05,32
2022-07-06,53
2022-07-07,35
2022-07-08,37
2022-07-09,2
2022-07-10,2
2022-07-11,36
2022-07-12,58
2022-07-13,39
2022-07-14,36
2022-07-15,32
2022-07-16,1
2022-07-17,1
2022-07-18,49
2022-07-19,33
2022-07-20,57
2022-07-21,13
2022-07-22,34
2022-07-23,2
2022-07-25,27
2022-07-26,30
2022-07-27,39
2022-07-28,39
2022-07-29,36
2022-07-31,1
2022-08-01,3
2022-08-02,31
2022-08-03,37
2022-08-04,29
2022-08-05,17
2022-08-06,14
2022-08-07,2
2022-08-08,26
2022-08-09,39
2022-08-10,90
2022-08-11,22
2022-08-12,41
2022-08-14,2
2022-08-15,18
2022-08-16,47
2022-08-17,33
2022-08-18,14
2022-08-19,20
2022-08-20,1
2022-08-21,1
2022-08-22,21
2022-08-23,39
2022-08-24,54
2022-08-25,14
2022-08-26,26
2022-08-29,33
2022-08-30,39
2022-08-31,38
2022-09-01,32
2022-09-02,64
2022-09-03,1
2022-09-06,46
2022-09-07,33
2022-09-08,46
2022-09-09,61
2022-09-10,1
2022-09-12,15
2022-09-13,42
2022-09-14,26
2022-09-15,35
2022-09-16,27
2022-09-17,2
2022-09-18,1
2022-09-19,31
2022-09-20,32
2022-09-21,57
2022-09-22,34
2022-09-23,14
2022-09-26,37
2022-09-27,47
2022-09-28,44
2022-09-29,33
2022-09-30,35
2022-10-01,5
2022-10-03,57
2022-10-04,61
2022-10-05,49
2022-10-06,26
2022-10-07,52
2022-10-10,2
2022-10-11,21
2022-10-12,48
2022-10-13,23
2022-10-14,62
2022-10-15,2
2022-10-16,7
2022-10-17,30
2022-10-18,37
2022-10-19,33
2022-10-20,23
2022-10-21,48
2022-10-23,10
2022-10-24,51
2022-10-25,28
2022-10-26,27
2022-10-27,14
2022-10-28,68
2022-10-30,7
2022-10-31,88
2022-11-01,38
2022-11-02,37
2022-11-03,38
2022-11-04,32
2022-11-05,1
2022-11-06,2
2022-11-07,16
2022-11-08,53
2022-11-09,29
2022-11-10,24
2022-11-11,34
2022-11-13,1
2022-11-14,63
2022-11-15,38
2022-11-16,58
2022-11-17,43
2022-11-18,31
2022-11-19,7
2022-11-20,3
2022-11-21,19
2022-11-22,23
2022-11-23,57
2022-11-24,20
2022-11-25,25
2022-11-26,2
2022-11-28,41
2022-11-29,44
2022-11-30,32
2022-12-01,47
2022-12-02,24
2022-12-03,2
2022-12-04,6
2022-12-05,33
2022-12-06,22
2022-12-07,28
2022-12-08,31
2022-12-09,29
2022-12-10,2
2022-12-11,1
2022-12-12,19
2022-12-13,52
2022-12-14,41
2022-12-15,37
2022-12-16,34
2022-12-18,4
2022-12-19,31
2022-12-20,21
2022-12-21,44
2022-12-22,31
2022-12-23,21
2022-12-27,4
2022-12-28,23
2022-12-29,16
2022-12-30,9
2023-01-01,1
2023-01-03,18
2023-01-04,51
2023-01-05,53
2023-01-06,26
2023-01-09,27
2023-01-10,29
2023-01-11,31
2023-01-12,46
2023-01-13,33
2023-01-14,1
2023-01-16,34
2023-01-17,42
2023-01-18,62
2023-01-19,22
2023-01-20,65
2023-01-21,2
2023-01-23,56
2023-01-24,52
2023-01-25,28
2023-01-26,8
2023-01-27,32
2023-01-28,3
2023-01-29,2
2023-01-30,44
2023-01-31,115
2023-02-01,58
2023-02-02,55
2023-02-03,36
2023-02-04,7
2023-02-05,1
2023-02-06,54
2023-02-07,64
2023-02-08,50
2023-02-09,51
2023-02-10,41
2023-02-13,48
2023-02-14,58
2023-02-15,46
2023-02-16,44
2023-02-17,48
2023-02-18,2
2023-02-19,1
2023-02-21,51
2023-02-22,61
2023-02-23,37
2023-02-24,38
2023-02-25,2
2023-02-26,3
2023-02-27,51
2023-02-28,57
2023-03-01,39
2023-03-02,31
2023-03-03,42
2023-03-05,2
2023-03-06,73
2023-03-07,72
2023-03-08,85
2023-03-09,33
2023-03-10,32
2023-03-11,2
2023-03-12,3
2023-03-13,28
2023-03-14,56
2023-03-15,61
2023-03-16,81
2023-03-17,51
2023-03-18,1
2023-03-19,1
2023-03-20,52
2023-03-21,48
2023-03-22,48
2023-03-23,43
2023-03-24,21
2023-03-25,12
2023-03-26,2
2023-03-27,24
2023-03-28,65
2023-03-29,51
2023-03-30,39
2023-03-31,19
2023-04-01,1
2023-04-03,64
2023-04-04,55
2023-04-05,42
2023-04-06,59
2023-04-07,3
2023-04-09,1
2023-04-10,32
2023-04-11,76
2023-04-12,56
2023-04-13,32
2023-04-14,22
2023-04-15,8
2023-04-17,24
2023-04-18,35
2023-04-19,44
2023-04-20,42
2023-04-21,34
2023-04-22,17
2023-04-23,1
2023-04-24,75
2023-04-25,52
2023-04-26,43
2023-04-27,60
2023-04-28,67
2023-04-29,3
2023-04-30,3
2023-05-01,45
2023-05-02,37
2023-05-03,53
2023-05-04,56
2023-05-05,30
2023-05-06,1
2023-05-08,22
2023-05-09,49
2023-05-10,46
2023-05-11,47
2023-05-12,66
2023-05-13,4
2023-05-14,2
2023-05-15,46
2023-05-16,37
2023-05-17,25
2023-05-18,39
2023-05-19,43
2023-05-20,3
2023-05-21,3
2023-05-23,33
2023-05-24,39
2023-05-25,46
2023-05-26,73
2023-05-27,1
2023-05-28,1
2023-05-29,62
2023-05-30,23
2023-05-31,21
2023-06-01,49
2023-06-02,44
2023-06-03,1
2023-06-04,2
2023-06-05,45
2023-06-06,52
2023-06-07,30
2023-06-08,41
2023-06-09,25
2023-06-10,1
2023-06-11,4
2023-06-12,28
2023-06-13,44
2023-06-14,26
2023-06-15,43
2023-06-16,36
2023-06-18,7
2023-06-19,48
2023-06-20,38
2023-06-21,35
2023-06-22,49
2023-06-23,29
2023-06-24,1
2023-06-26,26
2023-06-27,18
2023-06-28,57
2023-06-29,34
2023-06-30,25
2023-07-01,11
2023-07-03,2
2023-07-04,33
2023-07-05,39
2023-07-06,68
2023-07-07,48
2023-07-08,3
2023-07-09,3
2023-07-10,14
2023-07-11,47
2023-07-12,61
2023-07-13,43
2023-07-14,20
2023-07-15,9
2023-07-16,1
2023-07-17,44
2023-07-18,40
2023-07-19,17
2023-07-20,32
2023-07-21,45
2023-07-22,5
2023-07-23,4
2023-07-24,37
2023-07-25,39
2023-07-26,51
2023-07-27,64
2023-07-28,46
2023-07-29,1
2023-07-31,53
2023-08-01,29
2023-08-02,110
2023-08-03,38
2023-08-04,22
2023-08-05,2
2023-08-08,36
2023-08-09,51
2023-08-10,35
2023-08-11,37
2023-08-13,1
2023-08-14,43
2023-08-15,47
2023-08-16,36
2023-08-17,31
2023-08-18,33
2023-08-19,2
2023-08-21,25
2023-08-22,19
2023-08-23,47
2023-08-24,50
2023-08-25,52
2023-08-27,4
2023-08-28,44
2023-08-29,40
2023-08-30,54
2023-08-31,42
2023-09-01,29
2023-09-02,2
2023-09-05,34
2023-09-06,31
2023-09-07,43
2023-09-08,43
2023-09-09,1
2023-09-10,1
2023-09-11,51
2023-09-12,38
2023-09-13,32
2023-09-14,38
2023-09-15,46
2023-09-17,2
2023-09-18,44
2023-09-19,46
2023-09-20,56
2023-09-21,1885
2023-09-22,36
2023-09-24,2
2023-09-25,26
2023-09-26,55
2023-09-27,46
2023-09-28,32
2023-09-29,85
2023-09-30,1
2023-10-01,1
2023-10-02,50
2023-10-03,21
2023-10-04,36
2023-10-05,54
2023-10-06,68
2023-10-07,24
2023-10-08,2
2023-10-09,8
2023-10-10,42
2023-10-11,48
2023-10-12,69
2023-10-13,69
2023-10-16,24
2023-10-17,31
2023-10-18,31
2023-10-19,35
2023-10-20,43
2023-10-21,3
2023-10-22,2
2023-10-23,20
2023-10-24,48
2023-10-25,41
2023-10-26,36
2023-10-27,44
2023-10-28,1
2023-10-29,1
2023-10-30,65
2023-10-31,73
2023-11-01,36
2023-11-02,57
2023-11-03,40
2023-11-04,1
2023-11-05,5
2023-11-06,34
2023-11-07,43
2023-11-08,35
2023-11-09,24
2023-11-10,33
2023-11-11,1
2023-11-12,1
2023-11-13,39
2023-11-14,34
2023-11-15,40
2023-11-16,40
2023-11-17,24
2023-11-18,1
2023-11-20,17
2023-11-21,16
2023-11-22,17
2023-11-23,34
2023-11-24,35
2023-11-26,1
2023-11-27,19
2023-11-28,36
2023-11-29,54
2023-11-30,12
2023-12-01,28
2023-12-02,1
2023-12-03,1
2023-12-04,18
2023-12-05,38
2023-12-06,21
2023-12-07,41
2023-12-08,40
2023-12-10,2
2023-12-11,20
2023-12-12,33
2023-12-13,24
2023-12-14,13
2023-12-15,35
2023-12-17,3
2023-12-18,26
2023-12-19,35
2023-12-20,27
2023-12-21,49
2023-12-22,24
2023-12-24,1
2023-12-26,1
2023-12-27,27
2023-12-28,59
2023-12-29,36
2023-12-30,8
2023-12-31,3
2024-01-01,7
2024-01-02,39
2024-01-03,23
2024-01-04,32
2024-01-05,27
2024-01-06,7
2024-01-07,3
2024-01-08,62
2024-01-09,44
2024-01-10,25
2024-01-11,31
2024-01-12,52
2024-01-13,2
2024-01-15,36
2024-01-16,69
2024-01-17,45
2024-01-18,53
2024-01-19,81
2024-01-20,1
2024-01-21,1
2024-01-22,55
2024-01-23,82
2024-01-24,76
2024-01-25,46
2024-01-26,33
2024-01-27,3
2024-01-28,1
2024-01-29,54
2024-01-30,80
2024-01-31,66
2024-02-01,50
2024-02-02,25
2024-02-03,4
2024-02-04,1
2024-02-05,45
2024-02-06,39
2024-02-07,64
2024-02-08,58
2024-02-09,41
2024-02-10,4
2024-02-12,26
2024-02-13,52
2024-02-14,37
2024-02-15,45
2024-02-16,29
2024-02-17,5
2024-02-18,1
2024-02-20,42
2024-02-21,57
2024-02-22,45
2024-02-23,30
2024-02-24,2
2024-02-25,23
2024-02-26,53
2024-02-27,58
2024-02-28,84
2024-02-29,44
2024-03-01,37
2024-03-02,1
2024-03-03,1
2024-03-04,38
2024-03-05,65
2024-03-06,65
2024-03-07,30
2024-03-08,64
2024-03-11,32
2024-03-12,69
2024-03-13,44
2024-03-14,42
2024-03-15,36
2024-03-16,4
2024-03-17,1
2024-03-18,32
2024-03-19,69
2024-03-20,91
2024-03-21,104
2024-03-22,134
2024-03-23,54
2024-03-24,92
2024-03-25,65
2024-03-26,191
2024-03-27,57
2024-03-28,28
2024-03-29,2
2024-03-30,3
2024-03-31,3
2024-04-01,71
2024-04-02,125
2024-04-03,57
2024-04-04,110
2024-04-05,45
2024-04-06,5
2024-04-07,18
2024-04-08,103
2024-04-09,54
2024-04-10,60
2024-04-11,70
2024-04-12,63
2024-04-13,5
2024-04-14,15
2024-04-15,74
2024-04-16,75
2024-04-17,37
2024-04-18,63
2024-04-19,40
2024-04-20,3
2024-04-21,11
2024-04-22,58
2024-04-23,60
2024-04-24,73
2024-04-25,37
2024-04-26,59
2024-04-27,8
2024-04-28,2
2024-04-29,52
2024-04-30,54
2024-05-01,50
2024-05-02,99
2024-05-03,89
2024-05-04,5
2024-05-05,4
2024-05-06,56
2024-05-07,61
2024-05-08,61
2024-05-09,61
2024-05-10,64
2024-05-11,4
2024-05-12,5
2024-05-13,48
2024-05-14,40
2024-05-15,21
2024-05-16,70
2024-05-17,31
2024-05-18,3
2024-05-19,9
2024-05-20,15
2024-05-21,30
2024-05-22,75
2024-05-23,45
2024-05-24,53
2024-05-25,8
2024-05-26,5
2024-05-27,83
2024-05-28,139
2024-05-29,54
2024-05-30,65
2024-05-31,44
2024-06-01,12
2024-06-02,13
2024-06-03,84
2024-06-04,106
2024-06-05,49
2024-06-06,83
2024-06-07,54
2024-06-08,4
2024-06-09,3
2024-06-10,86
2024-06-11,56
2024-06-12,55
2024-06-13,38
2024-06-14,51
2024-06-15,1
2024-06-17,55
2024-06-18,61
2024-06-19,54
2024-06-20,36
2024-06-21,34
2024-06-22,4
2024-06-23,2
2024-06-24,88
2024-06-25,62
2024-06-26,47
2024-06-27,15935
2024-06-28,49
2024-06-29,5
2024-06-30,2
2024-07-01,21
2024-07-02,86
2024-07-03,54
2024-07-04,52
2024-07-05,46
2024-07-06,4087
2024-07-07,6
2024-07-08,32
2024-07-09,24
2024-07-10,28
2024-07-11,31
2024-07-12,26
2024-07-13,2
2024-07-14,21
2024-07-15,57
2024-07-16,98
2024-07-17,60
2024-07-18,47
2024-07-19,47
2024-07-20,5
2024-07-21,8
2024-07-22,85
2024-07-23,54
2024-07-24,60
2024-07-25,61
2024-07-26,68
2024-07-27,7
2024-07-28,4
2024-07-29,88
2024-07-30,41
2024-07-31,50
2024-08-01,91
2024-08-02,37
2024-08-04,6
2024-08-05,14
2024-08-06,47
2024-08-07,69
2024-08-08,62
2024-08-09,31
2024-08-10,3
2024-08-11,6
2024-08-12,84
2024-08-13,39
2024-08-14,98
2024-08-15,86
2024-08-16,51
2024-08-17,22
2024-08-18,8
2024-08-19,87
2024-08-20,71
2024-08-21,81
2024-08-22,97
2024-08-23,63
2024-08-24,10
2024-08-25,3
2024-08-26,73
2024-08-27,60
2024-08-28,66
2024-08-29,49
2024-08-30,41
2024-08-31,3
2024-09-01,3
2024-09-02,17
2024-09-03,40
2024-09-04,67
2024-09-05,68
2024-09-06,70
2024-09-07,4
2024-09-08,7
2024-09-09,56
2024-09-10,57
2024-09-11,57
2024-09-12,59
2024-09-13,54
2024-09-14,9
2024-09-15,9
2024-09-16,85
2024-09-17,47
2024-09-18,70
2024-09-19,57
2024-09-20,63
2024-09-21,16
2024-09-22,23
2024-09-23,51
2024-09-24,102
2024-09-25,47
2024-09-26,76
2024-09-27,28
2024-09-28,9
2024-09-29,19
2024-09-30,87
2024-10-01,123
2024-10-02,61
2024-10-03,66
2024-10-04,77
2024-10-05,1
2024-10-06,11
2024-10-07,89
2024-10-08,74
2024-10-09,37
2024-10-10,43
2024-10-11,37
2024-10-13,2
2024-10-14,10
2024-10-15,90
2024-10-16,69
2024-10-17,84
2024-10-18,80
2024-10-19,8
2024-10-20,19
2024-10-21,84
2024-10-22,61
2024-10-23,62
2024-10-24,71
2024-10-25,74
2024-10-26,5
2024-10-27,35
2024-10-28,78
2024-10-29,89
2024-10-30,100
2024-10-31,64
2024-11-01,95
2024-11-02,12
2024-11-03,32
2024-11-04,97
2024-11-05,113
2024-11-06,83
2024-11-07,81
2024-11-08,85
2024-11-09,13
2024-11-10,12
2024-11-11,78
2024-11-12,66
2024-11-13,48
2024-11-14,79
2024-11-15,66
2024-11-16,14
2024-11-17,3
2024-11-18,90
2024-11-19,96
2024-11-20,53
2024-11-21,85
2024-11-22,78
2024-11-23,7
2024-11-25,67
2024-11-26,79
2024-11-27,69
2024-11-28,70
2024-11-29,71
2024-11-30,2
2024-12-01,3
2024-12-02,88
2024-12-03,77
2024-12-04,72
2024-12-05,89
2024-12-06,34
2024-12-07,2
2024-12-08,16
2024-12-09,70
2024-12-10,50
2024-12-11,61
2024-12-12,50
2024-12-13,52
2024-12-14,3
2024-12-15,17
2024-12-16,52
2024-12-17,64
2024-12-18,56
2024-12-19,49
2024-12-20,26
2024-12-21,1
2024-12-22,2
2024-12-23,83
2024-12-24,28
2024-12-25,1
2024-12-26,2
2024-12-27,8
2024-12-30,29
2024-12-31,26
2025-01-01,17
2025-01-02,24
2025-01-03,37
2025-01-04,12
2025-01-05,7
2025-01-06,52
2025-01-07,55
2025-01-08,35
2025-01-09,38
2025-01-10,58
2025-01-11,5
2025-01-12,7
2025-01-13,37
2025-01-14,89
2025-01-15,48
2025-01-16,59
2025-01-17,77
2025-01-18,13
2025-01-19,1
2025-01-20,55
2025-01-21,41
2025-01-22,59
2025-01-23,46
2025-01-24,46
2025-01-25,20
2025-01-26,5
2025-01-27,63
2025-01-28,60
2025-01-29,70
2025-01-30,87
2025-01-31,56
2025-02-01,6
2025-02-02,13
2025-02-03,120
2025-02-04,64
2025-02-05,56
2025-02-06,75
2025-02-07,56
2025-02-08,17
2025-02-09,7
2025-02-10,71
2025-02-11,69
2025-02-12,98
2025-02-13,90
2025-02-14,125
2025-02-15,12
2025-02-16,3
2025-02-17,29
2025-02-18,73
2025-02-19,96
2025-02-20,87
2025-02-21,94
2025-02-22,9
2025-02-23,4
2025-02-24,100
2025-02-25,55
2025-02-26,83
2025-02-27,65
2025-02-28,115
2025-03-01,21
2025-03-02,18
2025-03-03,117
2025-03-04,131
2025-03-05,123
2025-03-06,141
2025-03-07,112
2025-03-08,9
2025-03-09,6
2025-03-10,107
2025-03-11,74
2025-03-12,108
2025-03-13,101
2025-03-14,111
2025-03-15,18
2025-03-16,3
2025-03-17,130
2025-03-18,100
2025-03-19,128
2025-03-20,98
2025-03-21,116
2025-03-22,22
2025-03-23,12
2025-03-24,129
2025-03-25,171
2025-03-26,146
2025-03-27,121
2025-03-28,124
2025-03-29,41
2025-03-30,15
2025-03-31,98
2025-04-01,177
2025-04-02,119
2025-04-03,154
2025-04-04,104
2025-04-05,13
2025-04-06,5
2025-04-07,119
2025-04-08,95
2025-04-09,141
2025-04-10,155
2025-04-11,62
2025-04-12,14
2025-04-13,3
2025-04-14,117
2025-04-15,117
2025-04-16,66
2025-04-17,69
2025-04-18,22
2025-04-19,7
2025-04-20,12
2025-04-21,59
2025-04-22,91
2025-04-23,144
2025-04-24,129
2025-04-25,82
2025-04-26,22
2025-04-27,8
2025-04-28,123
2025-04-29,97
2025-04-30,103
2025-05-01,102
2025-05-02,102
2025-05-03,10
2025-05-04,9
2025-05-05,87
2025-05-06,68
2025-05-07,92
2025-05-08,79
2025-05-09,76
2025-05-10,9
2025-05-11,20
2025-05-12,58
2025-05-13,78
2025-05-14,97
2025-05-15,84
2025-05-16,57
2025-05-17,2
2025-05-18,21
2025-05-19,19
2025-05-20,57
2025-05-21,68
2025-05-22,71
2025-05-23,66
2025-05-24,3
2025-05-25,7
2025-05-26,78
2025-05-27,55
2025-05-28,80
2025-05-29,130
2025-05-30,125
2025-05-31,8
2025-06-01,22
2025-06-02,90
2025-06-03,113
2025-06-04,105
2025-06-05,76
2025-06-06,79
2025-06-07,4
2025-06-08,5
2025-06-09,105
2025-06-10,90
2025-06-11,91
2025-06-12,60
2025-06-13,37
2025-06-14,18
2025-06-15,6
2025-06-16,63
2025-06-17,99
2025-06-18,63
2025-06-19,56
2025-06-20,52
2025-06-21,10
2025-06-22,3
2025-06-23,110
2025-06-24,90
2025-06-25,83
2025-06-26,70
2025-06-27,100
2025-06-28,11
2025-06-29,7
2025-06-30,51
2025-07-01,4
2025-07-02,75
2025-07-03,89
2025-07-04,104
2025-07-05,6
2025-07-06,5
2025-07-07,79
2025-07-08,72
2025-07-09,83
2025-07-10,75
2025-07-11,42
2025-07-12,8
2025-07-13,2
2025-07-14,74
2025-07-15,82
2025-07-16,33
2025-07-17,51
2025-07-18,48
2025-07-19,3
2025-07-20,3
2025-07-21,41
2025-07-22,53
2025-07-23,56
2025-07-24,65
2025-07-25,61
2025-07-26,2
2025-07-27,2
2025-07-28,60
2025-07-29,79
2025-07-30,67
2025-07-31,46
2025-08-01,59
2025-08-02,1
2025-08-03,5
2025-08-04,1
2025-08-05,55
2025-08-06,55
2025-08-07,71
2025-08-08,18
2025-08-09,3
2025-08-10,1
2025-08-11,60
2025-08-12,57
2025-08-13,41
2025-08-14,64
2025-08-15,35
2025-08-16,2
2025-08-17,1
2025-08-18,61
2025-08-19,52
2025-08-20,44
2025-08-21,27
2025-08-22,36
2025-08-24,2
2025-08-25,30
2025-08-26,58
2025-08-27,59
2025-08-28,48
2025-08-29,38
2025-08-30,7
2025-09-02,46
2025-09-03,51
2025-09-04,34
2025-09-05,31
2025-09-06,2
2025-09-07,7
2025-09-08,53
2025-09-09,55
2025-09-10,56
2025-09-11,49
2025-09-12,34
2025-09-13,6
2025-09-14,7
2025-09-15,25
2025-09-16,54
2025-09-17,43
2025-09-18,29
2025-09-19,39
2025-09-21,2
2025-09-22,43
2025-09-23,44
2025-09-24,34
2025-09-25,41
2025-09-26,42
2025-09-27,3
2025-09-29,58
2025-09-30,34
2025-10-01,43
2025-10-02,53
2025-10-03,53
2025-10-04,1
2025-10-05,1
2025-10-06,43
2025-10-07,52
2025-10-08,73
2025-10-09,40
2025-10-10,44
2025-10-11,3
2025-10-12,2
2025-10-13,1
2025-10-14,39
2025-10-15,26
2025-10-16,56
2025-10-17,38
